Datetime,Water Level (m)
2024-02-07 18:00:00,-0.06933922
2024-02-07 19:00:00,0.13426487
2024-02-07 20:00:00,0.26930165
2024-02-07 21:00:00,0.2652867
2024-02-07 22:00:00,0.14777215
2024-02-07 23:00:00,-0.00100175
2024-02-08 00:00:00,-0.15340991
2024-02-08 01:00:00,-0.3069705
2024-02-08 02:00:00,-0.44770682
2024-02-08 03:00:00,-0.5727018
2024-02-08 04:00:00,-0.6147685
2024-02-08 05:00:00,-0.4893355
2024-02-08 06:00:00,-0.30339572
2024-02-08 07:00:00,-0.11755649
2024-02-08 08:00:00,0.013477151
2024-02-08 09:00:00,0.017044226
2024-02-08 10:00:00,-0.09120385
2024-02-08 11:00:00,-0.22462621
2024-02-08 12:00:00,-0.36385307
2024-02-08 13:00:00,-0.5021806
2024-02-08 14:00:00,-0.63830554
2024-02-08 15:00:00,-0.7474564
2024-02-08 16:00:00,-0.736663
2024-02-08 17:00:00,-0.56341344
2024-02-08 18:00:00,-0.3293804
2024-02-08 19:00:00,-0.068602994
2024-02-08 20:00:00,0.17555249
2024-02-08 21:00:00,0.3219226
2024-02-08 22:00:00,0.27637085
2024-02-08 23:00:00,0.12716709
2024-02-09 00:00:00,-0.03787986
2024-02-09 01:00:00,-0.2045401
2024-02-09 02:00:00,-0.36611065
2024-02-09 03:00:00,-0.51863194
2024-02-09 04:00:00,-0.6487896
2024-02-09 05:00:00,-0.66842455
2024-02-09 06:00:00,-0.51358515
2024-02-09 07:00:00,-0.30591887
2024-02-09 08:00:00,-0.097203285
2024-02-09 09:00:00,0.046584405
2024-02-09 10:00:00,0.043788724
2024-02-09 11:00:00,-0.07601056
2024-02-09 12:00:00,-0.2172584
2024-02-09 13:00:00,-0.3633598
2024-02-09 14:00:00,-0.5097865
2024-02-09 15:00:00,-0.65363157
2024-02-09 16:00:00,-0.76687986
2024-02-09 17:00:00,-0.73713017
2024-02-09 18:00:00,-0.5413088
2024-02-09 19:00:00,-0.28203416
2024-02-09 20:00:00,-0.0011277492
2024-02-09 21:00:00,0.2580146
2024-02-09 22:00:00,0.37441412
2024-02-09 23:00:00,0.2772448
2024-02-10 00:00:00,0.11132846
2024-02-10 01:00:00,-0.061171632
2024-02-10 02:00:00,-0.23447376
2024-02-10 03:00:00,-0.39848396
2024-02-10 04:00:00,-0.55540127
2024-02-10 05:00:00,-0.67587656
2024-02-10 06:00:00,-0.6351018
2024-02-10 07:00:00,-0.44128937
2024-02-10 08:00:00,-0.20419332
2024-02-10 09:00:00,0.016760187
2024-02-10 10:00:00,0.14218812
2024-02-10 11:00:00,0.0967979
2024-02-10 12:00:00,-0.04232122
2024-02-10 13:00:00,-0.19233336
2024-02-10 14:00:00,-0.34558105
2024-02-10 15:00:00,-0.49746937
2024-02-10 16:00:00,-0.6450273
2024-02-10 17:00:00,-0.7509242
2024-02-10 18:00:00,-0.6770422
2024-02-10 19:00:00,-0.45498514
2024-02-10 20:00:00,-0.17332566
2024-02-10 21:00:00,0.12271449
2024-02-10 22:00:00,0.37003577
2024-02-10 23:00:00,0.4215692
2024-02-11 00:00:00,0.27771506
2024-02-11 01:00:00,0.10175645
2024-02-11 02:00:00,-0.07798424
2024-02-11 03:00:00,-0.2566412
2024-02-11 04:00:00,-0.42303088
2024-02-11 05:00:00,-0.57948273
2024-02-11 06:00:00,-0.6713259
2024-02-11 07:00:00,-0.5554716
2024-02-11 08:00:00,-0.32574558
2024-02-11 09:00:00,-0.07011729
2024-02-11 10:00:00,0.15385373
2024-02-11 11:00:00,0.25449622
2024-02-11 12:00:00,0.16082545
2024-02-11 13:00:00,0.006101144
2024-02-11 14:00:00,-0.15336126
2024-02-11 15:00:00,-0.31540057
2024-02-11 16:00:00,-0.46957454
2024-02-11 17:00:00,-0.6151782
2024-02-11 18:00:00,-0.6925351
2024-02-11 19:00:00,-0.55612665
2024-02-11 20:00:00,-0.30449843
2024-02-11 21:00:00,-0.011893753
2024-02-11 22:00:00,0.28344816
2024-02-11 23:00:00,0.4769958
2024-02-12 00:00:00,0.44167957
2024-02-12 01:00:00,0.26986527
2024-02-12 02:00:00,0.08898548
2024-02-12 03:00:00,-0.094747916
2024-02-12 04:00:00,-0.2751016
2024-02-12 05:00:00,-0.44004694
2024-02-12 06:00:00,-0.5854164
2024-02-12 07:00:00,-0.6090862
2024-02-12 08:00:00,-0.42666885
2024-02-12 09:00:00,-0.16986679
2024-02-12 10:00:00,0.08943392
2024-02-12 11:00:00,0.3052031
2024-02-12 12:00:00,0.3400678
2024-02-12 13:00:00,0.20477287
2024-02-12 14:00:00,0.042934705
2024-02-12 15:00:00,-0.12371815
2024-02-12 16:00:00,-0.29224408
2024-02-12 17:00:00,-0.44760624
2024-02-12 18:00:00,-0.5865467
2024-02-12 19:00:00,-0.6110888
2024-02-12 20:00:00,-0.4259045
2024-02-12 21:00:00,-0.15483887
2024-02-12 22:00:00,0.13323775
2024-02-12 23:00:00,0.39823428
2024-02-13 00:00:00,0.501606
2024-02-13 01:00:00,0.3830425
2024-02-13 02:00:00,0.20369107
2024-02-13 03:00:00,0.023266474
2024-02-13 04:00:00,-0.15853903
2024-02-13 05:00:00,-0.3311134
2024-02-13 06:00:00,-0.48791036
